"","X2","X0.5","X0.5.1","X0.26"
"187",2,5,3.5,0.36
"188",2,5,4,0.22
"189",2,5,4.5,0.26
"190",2,5,5,0.26
"191",2,5,5.5,0.08
"192",2,5,6,0.14
"193",2,5,6.5,0.1
"194",2,5,7,0.16
"195",2,5,7.5,0.12
"196",2,5,8,0.06
"197",2,5,8.5,0.12
"198",2,5,9,0.14
"199",2,5,9.5,0.04
"200",2,5,10,0.08
"201",2,5.5,0.5,1
"202",2,5.5,1,1
"203",2,5.5,1.5,0.98
"204",2,5.5,2,0.74
"205",2,5.5,2.5,0.62
"206",2,5.5,3,0.48
"207",2,5.5,3.5,0.28
"208",2,5.5,4,0.36
"209",2,5.5,4.5,0.16
"210",2,5.5,5,0.14
"211",2,5.5,5.5,0.24
"212",2,5.5,6,0.16
"213",2,5.5,6.5,0.1
"214",2,5.5,7,0.16
"215",2,5.5,7.5,0.18
"216",2,5.5,8,0.14
"217",2,5.5,8.5,0.08
"218",2,5.5,9,0.1
"219",2,5.5,9.5,0.06
"220",2,5.5,10,0
"221",2,6,0.5,1
"222",2,6,1,1
"223",2,6,1.5,0.96
"224",2,6,2,0.94
"225",2,6,2.5,0.68
"226",2,6,3,0.48
"227",2,6,3.5,0.58
"228",2,6,4,0.3
"229",2,6,4.5,0.34
"230",2,6,5,0.18
"231",2,6,5.5,0.16
"232",2,6,6,0.22
"233",2,6,6.5,0.24
"234",2,6,7,0.26
"235",2,6,7.5,0.12
"236",2,6,8,0.14
"237",2,6,8.5,0.06
"238",2,6,9,0.06
"239",2,6,9.5,0.12
"240",2,6,10,0.12
"241",2,6.5,0.5,1
"242",2,6.5,1,1
"243",2,6.5,1.5,1
"244",2,6.5,2,0.96
"245",2,6.5,2.5,0.8
"246",2,6.5,3,0.66
"247",2,6.5,3.5,0.42
"248",2,6.5,4,0.32
"249",2,6.5,4.5,0.26
"250",2,6.5,5,0.24
"251",2,6.5,5.5,0.32
"252",2,6.5,6,0.22
"253",2,6.5,6.5,0.12
"254",2,6.5,7,0.18
"255",2,6.5,7.5,0.12
"256",2,6.5,8,0.16
"257",2,6.5,8.5,0.1
"258",2,6.5,9,0.1
"259",2,6.5,9.5,0.16
"260",2,6.5,10,0.14
"261",2,7,0.5,1
"262",2,7,1,1
"263",2,7,1.5,1
"264",2,7,2,0.94
"265",2,7,2.5,0.92
"266",2,7,3,0.72
"267",2,7,3.5,0.7
"268",2,7,4,0.42
"269",2,7,4.5,0.38
"270",2,7,5,0.34
"271",2,7,5.5,0.32
"272",2,7,6,0.22
"273",2,7,6.5,0.1
"274",2,7,7,0.3
"275",2,7,7.5,0.18
"276",2,7,8,0.14
"277",2,7,8.5,0.12
"278",2,7,9,0.1
"279",2,7,9.5,0.14
"280",2,7,10,0.12
"281",2,7.5,0.5,1
"282",2,7.5,1,1
"283",2,7.5,1.5,1
"284",2,7.5,2,0.94
"285",2,7.5,2.5,0.9
"286",2,7.5,3,0.72
"287",2,7.5,3.5,0.54
"288",2,7.5,4,0.54
"289",2,7.5,4.5,0.4
"290",2,7.5,5,0.38
"291",2,7.5,5.5,0.36
"292",2,7.5,6,0.24
"293",2,7.5,6.5,0.28
"294",2,7.5,7,0.18
"295",2,7.5,7.5,0.14
"296",2,7.5,8,0.18
"297",2,7.5,8.5,0.12
"298",2,7.5,9,0.2
"299",2,7.5,9.5,0.16
"300",2,7.5,10,0.14
"301",2,8,0.5,1
"302",2,8,1,1
"303",2,8,1.5,0.98
"304",2,8,2,0.98
"305",2,8,2.5,0.9
"306",2,8,3,0.78
"307",2,8,3.5,0.72
"308",2,8,4,0.66
"309",2,8,4.5,0.48
"310",2,8,5,0.52
"311",2,8,5.5,0.26
"312",2,8,6,0.32
"313",2,8,6.5,0.24
"314",2,8,7,0.16
"315",2,8,7.5,0.26
"316",2,8,8,0.26
"317",2,8,8.5,0.24
"318",2,8,9,0.18
"319",2,8,9.5,0.22
