"","X2","X0.5","X0.5.1","X0.96"
"186",2,5,3,0.9
"187",2,5,3.5,0.98
"188",2,5,4,0.94
"189",2,5,4.5,0.88
"190",2,5,5,0.92
"191",2,5,5.5,0.92
"192",2,5,6,0.96
"193",2,5,6.5,0.96
"194",2,5,7,0.92
"195",2,5,7.5,1
"196",2,5,8,0.94
"197",2,5,8.5,0.96
"198",2,5,9,0.92
"199",2,5,9.5,0.94
"200",2,5,10,0.98
"201",2,5.5,0.5,0.94
"202",2,5.5,1,0.92
"203",2,5.5,1.5,0.92
"204",2,5.5,2,0.94
"205",2,5.5,2.5,0.94
"206",2,5.5,3,0.9
"207",2,5.5,3.5,1
"208",2,5.5,4,0.94
"209",2,5.5,4.5,0.92
"210",2,5.5,5,0.96
"211",2,5.5,5.5,0.92
"212",2,5.5,6,0.94
"213",2,5.5,6.5,0.98
"214",2,5.5,7,0.94
"215",2,5.5,7.5,0.96
"216",2,5.5,8,0.94
"217",2,5.5,8.5,1
"218",2,5.5,9,0.94
"219",2,5.5,9.5,0.88
"220",2,5.5,10,0.96
"221",2,6,0.5,0.96
"222",2,6,1,0.94
"223",2,6,1.5,0.92
"224",2,6,2,0.98
"225",2,6,2.5,0.96
"226",2,6,3,0.94
"227",2,6,3.5,0.96
"228",2,6,4,0.96
"229",2,6,4.5,0.92
"230",2,6,5,0.94
"231",2,6,5.5,0.98
"232",2,6,6,0.94
"233",2,6,6.5,1
"234",2,6,7,0.94
"235",2,6,7.5,0.96
"236",2,6,8,0.96
"237",2,6,8.5,1
"238",2,6,9,0.96
"239",2,6,9.5,0.92
"240",2,6,10,0.98
"241",2,6.5,0.5,0.96
"242",2,6.5,1,0.96
"243",2,6.5,1.5,0.98
"244",2,6.5,2,0.92
"245",2,6.5,2.5,0.94
"246",2,6.5,3,0.96
"247",2,6.5,3.5,0.98
"248",2,6.5,4,0.9
"249",2,6.5,4.5,0.92
"250",2,6.5,5,0.98
"251",2,6.5,5.5,0.92
"252",2,6.5,6,0.94
"253",2,6.5,6.5,0.94
"254",2,6.5,7,0.98
"255",2,6.5,7.5,0.96
"256",2,6.5,8,0.98
"257",2,6.5,8.5,0.9
"258",2,6.5,9,1
"259",2,6.5,9.5,0.98
"260",2,6.5,10,0.96
"261",2,7,0.5,0.98
"262",2,7,1,0.96
"263",2,7,1.5,0.96
"264",2,7,2,0.98
"265",2,7,2.5,0.96
"266",2,7,3,0.88
"267",2,7,3.5,1
"268",2,7,4,0.94
"269",2,7,4.5,0.96
"270",2,7,5,0.98
"271",2,7,5.5,0.92
"272",2,7,6,0.94
"273",2,7,6.5,0.98
"274",2,7,7,0.96
"275",2,7,7.5,0.96
"276",2,7,8,0.98
"277",2,7,8.5,0.98
"278",2,7,9,0.96
"279",2,7,9.5,0.92
"280",2,7,10,0.94
"281",2,7.5,0.5,1
"282",2,7.5,1,1
"283",2,7.5,1.5,1
"284",2,7.5,2,0.94
"285",2,7.5,2.5,0.92
"286",2,7.5,3,0.96
"287",2,7.5,3.5,0.94
"288",2,7.5,4,0.94
"289",2,7.5,4.5,0.92
"290",2,7.5,5,0.96
"291",2,7.5,5.5,0.94
"292",2,7.5,6,0.9
"293",2,7.5,6.5,0.98
"294",2,7.5,7,0.96
"295",2,7.5,7.5,0.98
"296",2,7.5,8,0.96
"297",2,7.5,8.5,0.98
"298",2,7.5,9,0.96
"299",2,7.5,9.5,0.98
"300",2,7.5,10,0.94
"301",2,8,0.5,0.94
"302",2,8,1,0.94
"303",2,8,1.5,0.94
"304",2,8,2,0.92
"305",2,8,2.5,0.96
"306",2,8,3,0.98
"307",2,8,3.5,0.9
"308",2,8,4,0.96
"309",2,8,4.5,1
"310",2,8,5,0.92
"311",2,8,5.5,0.98
"312",2,8,6,0.96
"313",2,8,6.5,0.96
"314",2,8,7,0.92
"315",2,8,7.5,0.92
"316",2,8,8,0.96
"317",2,8,8.5,0.98
"318",2,8,9,0.94
"319",2,8,9.5,0.92
"320",2,8,10,0.94
"321",2,8.5,0.5,0.94
"322",2,8.5,1,0.9
"323",2,8.5,1.5,0.98
"324",2,8.5,2,0.94
"325",2,8.5,2.5,0.94
"326",2,8.5,3,0.96
"327",2,8.5,3.5,0.92
"328",2,8.5,4,1
"329",2,8.5,4.5,1
"330",2,8.5,5,0.92
"331",2,8.5,5.5,0.96
"332",2,8.5,6,0.96
"333",2,8.5,6.5,0.98
"334",2,8.5,7,0.9
"335",2,8.5,7.5,0.88
"336",2,8.5,8,0.94
"337",2,8.5,8.5,1
"338",2,8.5,9,0.98
"339",2,8.5,9.5,1
"340",2,8.5,10,1
"341",2,9,0.5,0.98
