"","X2","X0.5","X0.5.1","X0.92"
"177",2,4.5,8.5,0.08
"178",2,4.5,9,0.0600000000000001
"179",2,4.5,9.5,0.08
"180",2,4.5,10,0.02
"181",2,5,0.5,0.42
"182",2,5,1,0.3
"183",2,5,1.5,0.18
"184",2,5,2,0.16
"185",2,5,2.5,0.08
"186",2,5,3,0.08
"187",2,5,3.5,0.08
"188",2,5,4,0
"189",2,5,4.5,0.12
"190",2,5,5,0.08
"191",2,5,5.5,0.04
"192",2,5,6,0.08
"193",2,5,6.5,0.02
"194",2,5,7,0.12
"195",2,5,7.5,0.08
"196",2,5,8,0.08
"197",2,5,8.5,0.04
"198",2,5,9,0.08
"199",2,5,9.5,0.08
"200",2,5,10,0.04
"201",2,5.5,0.5,0.72
"202",2,5.5,1,0.38
"203",2,5.5,1.5,0.16
"204",2,5.5,2,0.22
"205",2,5.5,2.5,0.24
"206",2,5.5,3,0.12
"207",2,5.5,3.5,0.0600000000000001
"208",2,5.5,4,0.0600000000000001
"209",2,5.5,4.5,0.08
"210",2,5.5,5,0.0600000000000001
"211",2,5.5,5.5,0.04
"212",2,5.5,6,0.14
"213",2,5.5,6.5,0.08
"214",2,5.5,7,0.08
"215",2,5.5,7.5,0.1
"216",2,5.5,8,0.04
"217",2,5.5,8.5,0.1
"218",2,5.5,9,0.08
"219",2,5.5,9.5,0.02
"220",2,5.5,10,0.12
"221",2,6,0.5,0.72
"222",2,6,1,0.36
"223",2,6,1.5,0.28
"224",2,6,2,0.2
"225",2,6,2.5,0.12
"226",2,6,3,0.1
"227",2,6,3.5,0.18
"228",2,6,4,0.12
"229",2,6,4.5,0.12
"230",2,6,5,0.1
"231",2,6,5.5,0.02
"232",2,6,6,0.08
"233",2,6,6.5,0.0600000000000001
"234",2,6,7,0.0600000000000001
"235",2,6,7.5,0.0600000000000001
"236",2,6,8,0.02
"237",2,6,8.5,0.1
"238",2,6,9,0.1
"239",2,6,9.5,0.0600000000000001
"240",2,6,10,0.04
"241",2,6.5,0.5,0.68
"242",2,6.5,1,0.44
"243",2,6.5,1.5,0.22
"244",2,6.5,2,0.16
"245",2,6.5,2.5,0.16
"246",2,6.5,3,0.1
"247",2,6.5,3.5,0.08
"248",2,6.5,4,0.14
"249",2,6.5,4.5,0.08
"250",2,6.5,5,0.0600000000000001
"251",2,6.5,5.5,0.0600000000000001
"252",2,6.5,6,0.02
"253",2,6.5,6.5,0.1
"254",2,6.5,7,0.08
"255",2,6.5,7.5,0.08
"256",2,6.5,8,0.08
"257",2,6.5,8.5,0.08
"258",2,6.5,9,0.0600000000000001
"259",2,6.5,9.5,0.0600000000000001
"260",2,6.5,10,0.1
"261",2,7,0.5,0.7
"262",2,7,1,0.4
"263",2,7,1.5,0.4
"264",2,7,2,0.18
"265",2,7,2.5,0.08
"266",2,7,3,0.0600000000000001
"267",2,7,3.5,0.0600000000000001
"268",2,7,4,0.14
"269",2,7,4.5,0.08
"270",2,7,5,0.04
"271",2,7,5.5,0.04
"272",2,7,6,0.0600000000000001
"273",2,7,6.5,0.08
"274",2,7,7,0.14
"275",2,7,7.5,0.12
"276",2,7,8,0.1
"277",2,7,8.5,0.08
"278",2,7,9,0.0600000000000001
"279",2,7,9.5,0.1
"280",2,7,10,0.02
"281",2,7.5,0.5,0.7
"282",2,7.5,1,0.52
"283",2,7.5,1.5,0.4
"284",2,7.5,2,0.2
"285",2,7.5,2.5,0.12
"286",2,7.5,3,0.2
"287",2,7.5,3.5,0.16
"288",2,7.5,4,0.0600000000000001
"289",2,7.5,4.5,0.12
"290",2,7.5,5,0.08
"291",2,7.5,5.5,0.04
"292",2,7.5,6,0.12
"293",2,7.5,6.5,0.1
"294",2,7.5,7,0.0600000000000001
"295",2,7.5,7.5,0.0600000000000001
"296",2,7.5,8,0.0600000000000001
"297",2,7.5,8.5,0.12
"298",2,7.5,9,0.0600000000000001
"299",2,7.5,9.5,0.12
"300",2,7.5,10,0.12
"301",2,8,0.5,0.82
"302",2,8,1,0.56
"303",2,8,1.5,0.36
"304",2,8,2,0.34
"305",2,8,2.5,0.24
"306",2,8,3,0.22
"307",2,8,3.5,0.12
"308",2,8,4,0.14
"309",2,8,4.5,0.08
"310",2,8,5,0.14
"311",2,8,5.5,0.1
"312",2,8,6,0.04
"313",2,8,6.5,0.1
"314",2,8,7,0.08
"315",2,8,7.5,0.1
"316",2,8,8,0.08
"317",2,8,8.5,0.0600000000000001
