"","X2","X0.5","X0.5.1","X0.98"
"187",2,5,3.5,0.94
"188",2,5,4,0.94
"189",2,5,4.5,1
"190",2,5,5,0.92
"191",2,5,5.5,0.96
"192",2,5,6,0.96
"193",2,5,6.5,0.86
"194",2,5,7,0.98
"195",2,5,7.5,0.88
"196",2,5,8,0.98
"197",2,5,8.5,0.96
"198",2,5,9,1
"199",2,5,9.5,0.96
"200",2,5,10,1
"201",2,5.5,0.5,0.98
"202",2,5.5,1,0.96
"203",2,5.5,1.5,0.9
"204",2,5.5,2,0.96
"205",2,5.5,2.5,0.92
"206",2,5.5,3,0.98
"207",2,5.5,3.5,0.9
"208",2,5.5,4,0.98
"209",2,5.5,4.5,0.94
"210",2,5.5,5,0.98
"211",2,5.5,5.5,0.96
"212",2,5.5,6,0.92
"213",2,5.5,6.5,0.94
"214",2,5.5,7,0.94
"215",2,5.5,7.5,0.96
"216",2,5.5,8,0.98
"217",2,5.5,8.5,1
"218",2,5.5,9,0.94
"219",2,5.5,9.5,0.96
"220",2,5.5,10,0.94
"221",2,6,0.5,0.9
"222",2,6,1,0.96
"223",2,6,1.5,1
"224",2,6,2,0.94
"225",2,6,2.5,0.94
"226",2,6,3,0.98
"227",2,6,3.5,0.98
"228",2,6,4,0.98
"229",2,6,4.5,0.94
"230",2,6,5,0.98
"231",2,6,5.5,0.98
"232",2,6,6,0.94
"233",2,6,6.5,0.98
"234",2,6,7,0.96
"235",2,6,7.5,0.96
"236",2,6,8,0.88
"237",2,6,8.5,0.92
"238",2,6,9,0.96
"239",2,6,9.5,0.88
"240",2,6,10,0.96
"241",2,6.5,0.5,0.96
"242",2,6.5,1,0.96
"243",2,6.5,1.5,0.94
"244",2,6.5,2,0.94
"245",2,6.5,2.5,0.96
"246",2,6.5,3,0.92
"247",2,6.5,3.5,0.9
"248",2,6.5,4,0.98
"249",2,6.5,4.5,0.98
"250",2,6.5,5,0.96
"251",2,6.5,5.5,0.96
"252",2,6.5,6,0.96
"253",2,6.5,6.5,0.9
"254",2,6.5,7,0.94
"255",2,6.5,7.5,1
"256",2,6.5,8,0.98
"257",2,6.5,8.5,0.96
"258",2,6.5,9,0.98
"259",2,6.5,9.5,0.98
"260",2,6.5,10,0.94
"261",2,7,0.5,0.92
"262",2,7,1,0.98
